ES01-FW-01,192.168.121.253
ES02-FW-01,192.168.125.253
ES03-FW-01,192.168.189.253
ES04-FW-01,192.168.117.253
ES05-FW-01,192.168.209.253
ES07-FW-01,192.168.153.253
ES08-FW-01,192.168.205.253
ES09-FW-01,192.168.93.253
ES10-FW-01,192.168.201.253
ES11-FW-01,192.168.113.253
ES12-FW-01,192.168.213.253
ES13-FW-01,192.168.217.253
ES14-FW-01,192.168.229.253
ES15-FW-01,192.168.225.253
ES16-FW-01,192.168.233.253
JH01-FW-01,192.168.129.253
JH02-FW-01,192.168.137.253
JH03-FW-01,192.168.145.253
JH05-FW-01,192.168.157.253
JH06-FW-01,192.168.169.253
JH07-FW-01,192.168.173.253
JH08-FW-01,192.168.106.253
